"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 04 09:54:49 GMT 2024","Wed Dec 04 09:54:50 GMT 2024","852","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateSuccessfulShortPositiveTestCSV","botCreateSuccessfulShortPositiveTestCSV",""
"passed","Wed Dec 04 09:55:39 GMT 2024","Wed Dec 04 09:55:41 GMT 2024","1176","Gradle suite","Gradle test","botsystest.tests.timestream.CheckStreamAfterChangeBot","botsystest.tests.timestream.CheckStreamAfterChangeBot","CheckStreamAfterChangeBotPositiveTest","CheckStreamAfterChangeBotPositiveTest",""
"passed","Wed Dec 04 09:55:34 GMT 2024","Wed Dec 04 09:55:34 GMT 2024","211","Gradle suite","Gradle test","botsystest.tests.exchanges.GetExchangesTests","botsystest.tests.exchanges.GetExchangesTests","GetExchangeSuccessfulPositiveTest","GetExchangeSuccessfulPositiveTest",""
"passed","Wed Dec 04 09:55:21 GMT 2024","Wed Dec 04 09:55:21 GMT 2024","355","Gradle suite","Gradle test","botsystest.tests.bots.CreateUnsuccesfulTests","botsystest.tests.bots.CreateUnsuccesfulTests","botCreateNegativeNotConnectExchTest","botCreateNegativeNotConnectExchTest",""
"passed","Wed Dec 04 09:55:59 GMT 2024","Wed Dec 04 09:55:59 GMT 2024","545","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"passed","Wed Dec 04 09:55:28 GMT 2024","Wed Dec 04 09:55:30 GMT 2024","1448","Gradle suite","Gradle test","botsystest.tests.bots.GetBotsTests","botsystest.tests.bots.GetBotsTests","getOneBotPositiveTest","getOneBotPositiveTest",""
"passed","Wed Dec 04 09:54:48 GMT 2024","Wed Dec 04 09:54:48 GMT 2024","872","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateSuccessfulShortPositiveTestCSV","botCreateSuccessfulShortPositiveTestCSV",""
"passed","Wed Dec 04 09:55:01 GMT 2024","Wed Dec 04 09:55:02 GMT 2024","630","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateUnsuccesfullNegativeTestCSV","botCreateUnsuccesfullNegativeTestCSV",""
"passed","Wed Dec 04 09:55:31 GMT 2024","Wed Dec 04 09:55:32 GMT 2024","431","Gradle suite","Gradle test","botsystest.tests.exchanges.CreateExchangeTest","botsystest.tests.exchanges.CreateExchangeTest","CreateExchangeConnectPositiveFalseTest2","CreateExchangeConnectPositiveFalseTest2",""
"passed","Wed Dec 04 09:55:55 GMT 2024","Wed Dec 04 09:55:55 GMT 2024","545","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
