"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 04 12:33:38 GMT 2024","Wed Dec 04 12:33:39 GMT 2024","976","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateNegativeTestCSV","botCreateNegativeTestCSV",""
"passed","Wed Dec 04 12:34:13 GMT 2024","Wed Dec 04 12:34:14 GMT 2024","1004","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreatePositiveTestCSV","botCreatePositiveTestCSV",""
"passed","Wed Dec 04 12:35:28 GMT 2024","Wed Dec 04 12:35:28 GMT 2024","738","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"passed","Wed Dec 04 12:35:17 GMT 2024","Wed Dec 04 12:35:18 GMT 2024","568","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"passed","Wed Dec 04 12:34:11 GMT 2024","Wed Dec 04 12:34:12 GMT 2024","1018","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreatePositiveTestCSV","botCreatePositiveTestCSV",""
"passed","Wed Dec 04 12:34:28 GMT 2024","Wed Dec 04 12:34:29 GMT 2024","939","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateShortPositiveTestCSV","botCreateShortPositiveTestCSV",""
"failed","Wed Dec 04 12:33:57 GMT 2024","Wed Dec 04 12:33:57 GMT 2024","724","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreatePositiveTestCSV","botCreatePositiveTestCSV",""
"passed","Wed Dec 04 12:35:21 GMT 2024","Wed Dec 04 12:35:21 GMT 2024","425","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"failed","Wed Dec 04 12:34:17 GMT 2024","Wed Dec 04 12:34:18 GMT 2024","1096","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateShortPositiveTestCSV","botCreateShortPositiveTestCSV",""
"passed","Wed Dec 04 12:35:23 GMT 2024","Wed Dec 04 12:35:23 GMT 2024","464","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"passed","Wed Dec 04 12:34:49 GMT 2024","Wed Dec 04 12:34:50 GMT 2024","671","Gradle suite","Gradle test","botsystest.tests.bots.GetBotsTests","botsystest.tests.bots.GetBotsTests","getMyBotsPositiveTest","getMyBotsPositiveTest",""
"passed","Wed Dec 04 12:34:20 GMT 2024","Wed Dec 04 12:34:21 GMT 2024","984","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateShortPositiveTestCSV","botCreateShortPositiveTestCSV",""
