"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 04 10:50:42 GMT 2024","Wed Dec 04 10:50:44 GMT 2024","1808","Gradle suite","Gradle test","botsystest.tests.bots.GetBotsTests","botsystest.tests.bots.GetBotsTests","getOneBotPositiveTest","getOneBotPositiveTest",""
"failed","Wed Dec 04 10:49:46 GMT 2024","Wed Dec 04 10:49:47 GMT 2024","754","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreatePositiveTestCSV","botCreatePositiveTestCSV",""
"passed","Wed Dec 04 10:51:09 GMT 2024","Wed Dec 04 10:51:10 GMT 2024","613","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"passed","Wed Dec 04 10:50:46 GMT 2024","Wed Dec 04 10:50:47 GMT 2024","484","Gradle suite","Gradle test","botsystest.tests.exchanges.CreateExchangeTest","botsystest.tests.exchanges.CreateExchangeTest","CreateExchangeConnectPositiveFalseTest2","CreateExchangeConnectPositiveFalseTest2",""
"passed","Wed Dec 04 10:51:27 GMT 2024","Wed Dec 04 10:51:28 GMT 2024","436","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesPositiveTest","CandlesPositiveTest",""
"passed","Wed Dec 04 10:49:51 GMT 2024","Wed Dec 04 10:49:52 GMT 2024","1070","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreatePositiveTestCSV","botCreatePositiveTestCSV",""
"passed","Wed Dec 04 10:51:00 GMT 2024","Wed Dec 04 10:51:02 GMT 2024","1231","Gradle suite","Gradle test","botsystest.tests.timestream.CheckStreamAfterChangeExchange","botsystest.tests.timestream.CheckStreamAfterChangeExchange","CheckStreamAfterChangeExchangePositiveTest","CheckStreamAfterChangeExchangePositiveTest",""
"passed","Wed Dec 04 10:51:14 GMT 2024","Wed Dec 04 10:51:14 GMT 2024","442","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"passed","Wed Dec 04 10:50:21 GMT 2024","Wed Dec 04 10:50:22 GMT 2024","1013","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateShortPositiveTestCSV","botCreateShortPositiveTestCSV",""
"passed","Wed Dec 04 10:51:22 GMT 2024","Wed Dec 04 10:51:23 GMT 2024","625","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"passed","Wed Dec 04 10:50:42 GMT 2024","Wed Dec 04 10:50:42 GMT 2024","371","Gradle suite","Gradle test","botsystest.tests.bots.GetBotsTests","botsystest.tests.bots.GetBotsTests","getMyBotsPositiveTest","getMyBotsPositiveTest",""
"failed","Wed Dec 04 10:50:08 GMT 2024","Wed Dec 04 10:50:09 GMT 2024","1209","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateShortPositiveTestCSV","botCreateShortPositiveTestCSV",""
"passed","Wed Dec 04 10:51:12 GMT 2024","Wed Dec 04 10:51:13 GMT 2024","452","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"passed","Wed Dec 04 10:50:06 GMT 2024","Wed Dec 04 10:50:07 GMT 2024","1029","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreatePositiveTestCSV","botCreatePositiveTestCSV",""
"passed","Wed Dec 04 10:49:49 GMT 2024","Wed Dec 04 10:49:50 GMT 2024","1088","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreatePositiveTestCSV","botCreatePositiveTestCSV",""
"passed","Wed Dec 04 10:51:07 GMT 2024","Wed Dec 04 10:51:08 GMT 2024","983","Gradle suite","Gradle test","botsystest.tests.timestream.CheckStreamAfterDeleteExchange","botsystest.tests.timestream.CheckStreamAfterDeleteExchange","CheckStreamAfterDeleteExchangeTest","CheckStreamAfterDeleteExchangeTest",""
"passed","Wed Dec 04 10:50:56 GMT 2024","Wed Dec 04 10:50:58 GMT 2024","1260","Gradle suite","Gradle test","botsystest.tests.timestream.CheckStreamAfterChangeBot","botsystest.tests.timestream.CheckStreamAfterChangeBot","CheckStreamAfterChangeBotPositiveTest","CheckStreamAfterChangeBotPositiveTest",""
"passed","Wed Dec 04 10:49:57 GMT 2024","Wed Dec 04 10:49:58 GMT 2024","1044","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreatePositiveTestCSV","botCreatePositiveTestCSV",""
"passed","Wed Dec 04 10:51:11 GMT 2024","Wed Dec 04 10:51:12 GMT 2024","918","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"passed","Wed Dec 04 10:50:49 GMT 2024","Wed Dec 04 10:50:49 GMT 2024","229","Gradle suite","Gradle test","botsystest.tests.exchanges.GetExchangesTests","botsystest.tests.exchanges.GetExchangesTests","GetExchangeSuccessfulPositiveTest","GetExchangeSuccessfulPositiveTest",""
"passed","Wed Dec 04 10:50:45 GMT 2024","Wed Dec 04 10:50:46 GMT 2024","477","Gradle suite","Gradle test","botsystest.tests.exchanges.CreateExchangeTest","botsystest.tests.exchanges.CreateExchangeTest","CreateExchangeConnectPositiveFalseTest","CreateExchangeConnectPositiveFalseTest",""
"passed","Wed Dec 04 10:50:12 GMT 2024","Wed Dec 04 10:50:13 GMT 2024","969","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateShortPositiveTestCSV","botCreateShortPositiveTestCSV",""
"passed","Wed Dec 04 10:49:23 GMT 2024","Wed Dec 04 10:49:23 GMT 2024","728","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateNegativeTestCSV","botCreateNegativeTestCSV",""
"passed","Wed Dec 04 10:49:25 GMT 2024","Wed Dec 04 10:49:26 GMT 2024","1079","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateNegativeTestCSV","botCreateNegativeTestCSV",""
