"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Dec 08 10:53:10 GMT 2024","Sun Dec 08 10:53:10 GMT 2024","1","smoke","smoke","botsystest.tests.bots.DeleteActiveBotTests","botsystest.tests.bots.DeleteActiveBotTests","botsDeleteRunningNegativeTest","botsDeleteRunningNegativeTest",""
"failed","Sun Dec 08 10:53:10 GMT 2024","Sun Dec 08 10:53:10 GMT 2024","1","smoke","smoke","botsystest.tests.bots.DeleteActiveBotTests","botsystest.tests.bots.DeleteActiveBotTests","preConditions","preConditions",""
"passed","Sun Dec 08 10:53:11 GMT 2024","Sun Dec 08 10:53:12 GMT 2024","546","smoke","smoke","botsystest.tests.bots.DeleteBotsNotActiveTests","botsystest.tests.bots.DeleteBotsNotActiveTests","botsDeleteSuccessfulPositiveTest","botsDeleteSuccessfulPositiveTest",""
"passed","Sun Dec 08 10:52:59 GMT 2024","Sun Dec 08 10:53:01 GMT 2024","1727","smoke","smoke","botsystest.tests.bots.CreateSuccessfulBotsTests","botsystest.tests.bots.CreateSuccessfulBotsTests","botCreatePositiveDemoTest","botCreatePositiveDemoTest",""
"passed","Sun Dec 08 10:53:05 GMT 2024","Sun Dec 08 10:53:06 GMT 2024","1525","smoke","smoke","botsystest.tests.bots.CreateSuccessfulBotsTests","botsystest.tests.bots.CreateSuccessfulBotsTests","botCreatePositiveTest","botCreatePositiveTest",""
