"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 04 09:32:57 GMT 2024","Wed Dec 04 09:32:58 GMT 2024","1155","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateSuccessfulPositiveTestCSV","botCreateSuccessfulPositiveTestCSV",""
"passed","Wed Dec 04 09:34:37 GMT 2024","Wed Dec 04 09:34:37 GMT 2024","473","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"passed","Wed Dec 04 09:34:37 GMT 2024","Wed Dec 04 09:34:38 GMT 2024","461","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"passed","Wed Dec 04 09:34:07 GMT 2024","Wed Dec 04 09:34:07 GMT 2024","418","Gradle suite","Gradle test","botsystest.tests.exchanges.CreateExchangeTest","botsystest.tests.exchanges.CreateExchangeTest","CreateExchangePositiveTest","CreateExchangePositiveTest",""
"passed","Wed Dec 04 09:34:09 GMT 2024","Wed Dec 04 09:34:10 GMT 2024","648","Gradle suite","Gradle test","botsystest.tests.exchanges.GetExchangesTests","botsystest.tests.exchanges.GetExchangesTests","GetOneExchangeSuccessfulPositiveTest","GetOneExchangeSuccessfulPositiveTest",""
"passed","Wed Dec 04 09:34:18 GMT 2024","Wed Dec 04 09:34:19 GMT 2024","1037","Gradle suite","Gradle test","botsystest.tests.timestream.CheckStreamAfterChangeExchange","botsystest.tests.timestream.CheckStreamAfterChangeExchange","CheckStreamAfterChangeExchangePositiveTest","CheckStreamAfterChangeExchangePositiveTest",""
"passed","Wed Dec 04 09:34:10 GMT 2024","Wed Dec 04 09:34:12 GMT 2024","1762","Gradle suite","Gradle test","botsystest.tests.exchanges.GetMessageBeforeDeleteExchangeTest","botsystest.tests.exchanges.GetMessageBeforeDeleteExchangeTest","testGetExchangeBeforeDeletePositiveWithBots","testGetExchangeBeforeDeletePositiveWithBots",""
"passed","Wed Dec 04 09:33:05 GMT 2024","Wed Dec 04 09:33:06 GMT 2024","883","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateSuccessfulPositiveTestCSV","botCreateSuccessfulPositiveTestCSV",""
"passed","Wed Dec 04 09:34:15 GMT 2024","Wed Dec 04 09:34:16 GMT 2024","1249","Gradle suite","Gradle test","botsystest.tests.timestream.CheckStreamAfterChangeBot","botsystest.tests.timestream.CheckStreamAfterChangeBot","CheckStreamAfterChangeBotPositiveTest","CheckStreamAfterChangeBotPositiveTest",""
"passed","Wed Dec 04 09:33:01 GMT 2024","Wed Dec 04 09:33:02 GMT 2024","906","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateSuccessfulPositiveTestCSV","botCreateSuccessfulPositiveTestCSV",""
"passed","Wed Dec 04 09:33:58 GMT 2024","Wed Dec 04 09:33:58 GMT 2024","371","Gradle suite","Gradle test","botsystest.tests.bots.CreateUnsuccesfulTests","botsystest.tests.bots.CreateUnsuccesfulTests","botCreateNegativeNotConnectExchTest","botCreateNegativeNotConnectExchTest",""
"passed","Wed Dec 04 09:34:35 GMT 2024","Wed Dec 04 09:34:35 GMT 2024","461","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"passed","Wed Dec 04 09:34:29 GMT 2024","Wed Dec 04 09:34:30 GMT 2024","385","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesCSVPositiveTest","CandlesCSVPositiveTest",""
"passed","Wed Dec 04 09:34:39 GMT 2024","Wed Dec 04 09:34:40 GMT 2024","377","Gradle suite","Gradle test","botsystest.tests.traidingBinance.TraidingFromBinanceTest","botsystest.tests.traidingBinance.TraidingFromBinanceTest","CandlesPositiveTest","CandlesPositiveTest",""
"passed","Wed Dec 04 09:33:44 GMT 2024","Wed Dec 04 09:33:45 GMT 2024","609","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateUnsuccesfullNegativeTestCSV","botCreateUnsuccesfullNegativeTestCSV",""
"passed","Wed Dec 04 09:32:59 GMT 2024","Wed Dec 04 09:33:00 GMT 2024","893","Gradle suite","Gradle test","botsystest.tests.bots.BotsTestsCSV","botsystest.tests.bots.BotsTestsCSV","botCreateSuccessfulPositiveTestCSV","botCreateSuccessfulPositiveTestCSV",""
